id,age,bp,sg,al,su,rbc,pc,pcc,ba,bgr,bu,sc,sod,pot,hemo,pcv,wc,rc,htn,dm,cad,appet,pe,ane,classification,smoker,ckd_stage,username,email,password,phone_number
17,47.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,114.0,87.0,5.2,139.0,3.7,12.1,40.0,8000.0,4.8,yes,no,no,poor,no,no,ckd,yes,Stage 5,user18,user18@example.com,password123,+639338331349
18,60.0,100.0,1.025,0.0,3.0,normal,normal,notpresent,notpresent,263.0,27.0,1.3,135.0,4.3,12.7,37.0,11400.0,4.3,yes,yes,yes,good,no,no,ckd,no,Stage 3,user19,user19@example.com,password123,+639326428625
19,62.0,60.0,1.015,1.0,0.0,normal,abnormal,present,notpresent,100.0,31.0,1.6,138.0,4.4,10.3,30.0,5300.0,3.7,yes,no,yes,good,no,no,ckd,no,Stage 3,user20,user20@example.com,password123,+639410317219
20,61.0,80.0,1.015,2.0,0.0,abnormal,abnormal,notpresent,notpresent,173.0,148.0,3.9,135.0,5.2,7.7,24.0,9200.0,3.2,yes,yes,yes,poor,yes,yes,ckd,yes,Stage 4,user21,user21@example.com,password123,+639828896881
21,60.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,121.0,180.0,76.0,4.5,4.4,10.9,32.0,6200.0,3.6,yes,yes,yes,good,no,no,ckd,yes,Stage 5,user22,user22@example.com,password123,+639943518270
22,48.0,80.0,1.025,4.0,0.0,normal,abnormal,notpresent,notpresent,95.0,163.0,7.7,136.0,3.8,9.8,32.0,6900.0,3.4,yes,no,no,good,no,yes,ckd,no,Stage 5,user23,user23@example.com,password123,+639380129560
23,21.0,70.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,121.0,42.0,1.3,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,poor,no,yes,ckd,no,Stage 3,user24,user24@example.com,password123,+639487502157
24,42.0,100.0,1.015,4.0,0.0,normal,abnormal,notpresent,present,121.0,50.0,1.4,129.0,4.0,11.1,39.0,8300.0,4.6,yes,no,no,poor,no,no,ckd,yes,Stage 3,user25,user25@example.com,password123,+639208116942
25,61.0,60.0,1.025,0.0,0.0,normal,normal,notpresent,notpresent,108.0,75.0,1.9,141.0,5.2,9.9,29.0,8400.0,3.7,yes,yes,no,good,no,yes,ckd,no,Stage 3,user26,user26@example.com,password123,+639625743567
26,75.0,80.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,156.0,45.0,2.4,140.0,3.4,11.6,35.0,10300.0,4.0,yes,yes,no,poor,no,no,ckd,yes,Stage 4,user27,user27@example.com,password123,+639967181416
27,69.0,70.0,1.01,3.0,4.0,normal,abnormal,notpresent,notpresent,264.0,87.0,2.7,130.0,4.0,12.5,37.0,9600.0,4.1,yes,yes,yes,good,yes,no,ckd,yes,Stage 4,user28,user28@example.com,password123,+639568849006
28,75.0,70.0,1.02,1.0,3.0,normal,normal,notpresent,notpresent,123.0,31.0,1.4,138.0,4.4,12.65,40.0,8000.0,4.8,no,yes,no,good,no,no,ckd,yes,Stage 3,user29,user29@example.com,password123,+639283747303
29,68.0,70.0,1.005,1.0,0.0,abnormal,abnormal,present,notpresent,121.0,28.0,1.4,138.0,4.4,12.9,38.0,8000.0,4.8,no,no,yes,good,no,no,ckd,no,Stage 3,user30,user30@example.com,password123,+639404740876
30,55.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,93.0,155.0,7.3,132.0,4.9,12.65,40.0,8000.0,4.8,yes, yes,no,good,no,no,ckd,yes,Stage 5,user31,user31@example.com,password123,+639446419312
31,73.0,90.0,1.015,3.0,0.0,normal,abnormal,present,notpresent,107.0,33.0,1.5,141.0,4.6,10.1,30.0,7800.0,4.0,no,no,no,poor,no,no,ckd,no,Stage 3,user32,user32@example.com,password123,+639836410987
32,61.0,90.0,1.01,1.0,1.0,normal,normal,notpresent,notpresent,159.0,39.0,1.5,133.0,4.9,11.3,34.0,9600.0,4.0,yes,yes,no,poor,no,no,ckd,yes,Stage 3,user33,user33@example.com,password123,+639537344046
33,60.0,100.0,1.02,2.0,0.0,abnormal,abnormal,notpresent,notpresent,140.0,55.0,2.5,138.0,4.4,10.1,29.0,8000.0,4.8,yes,no,no,poor,no,no,ckd,no,Stage 4,user34,user34@example.com,password123,+639750974305
34,70.0,70.0,1.01,1.0,0.0,normal,normal,present,present,171.0,153.0,5.2,138.0,4.4,12.65,40.0,8000.0,4.8,no,yes,no,poor,no,no,ckd,yes,Stage 5,user35,user35@example.com,password123,+639794153977
35,65.0,90.0,1.02,2.0,1.0,abnormal,normal,notpresent,notpresent,270.0,39.0,2.0,138.0,4.4,12.0,36.0,9800.0,4.9,yes,yes,no,poor,no,yes,ckd,no,Stage 4,user36,user36@example.com,password123,+639766057089
36,76.0,70.0,1.015,1.0,0.0,normal,normal,notpresent,notpresent,92.0,29.0,1.8,133.0,3.9,10.3,32.0,8000.0,4.8,yes,no,no,good,no,no,ckd,no,Stage 3,user37,user37@example.com,password123,+639107935052
37,72.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,137.0,65.0,3.4,141.0,4.7,9.7,28.0,6900.0,2.5,yes,yes,no,poor,no,yes,ckd	,yes,Stage 4,user38,user38@example.com,password123,+639331908721
38,69.0,80.0,1.02,3.0,0.0,abnormal,normal,notpresent,notpresent,121.0,103.0,4.1,132.0,5.9,12.5,40.0,8000.0,4.8,yes,no,no,good,no,no,ckd,no,Stage 4,user39,user39@example.com,password123,+639467228106
39,82.0,80.0,1.01,2.0,2.0,normal,normal,notpresent,notpresent,140.0,70.0,3.4,136.0,4.2,13.0,40.0,9800.0,4.2,yes,yes,no,good,no,no,ckd,no,Stage 4,user40,user40@example.com,password123,+639946087128
40,46.0,90.0,1.01,2.0,0.0,normal,abnormal,notpresent,notpresent,99.0,80.0,2.1,138.0,4.4,11.1,32.0,9100.0,4.1,yes,no,	no,good,no,no,ckd,no,Stage 4,user41,user41@example.com,password123,+639680148223
41,45.0,70.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,121.0,20.0,0.7,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,good,yes,no,ckd,no,Stage 1-2,user42,user42@example.com,password123,+639536038928
42,47.0,100.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,204.0,29.0,1.0,139.0,4.2,9.7,33.0,9200.0,4.5,yes,no,no,good,no,yes,ckd,no,Stage 1-2,user43,user43@example.com,password123,+639623890262
43,35.0,80.0,1.01,1.0,0.0,abnormal,normal,notpresent,notpresent,79.0,202.0,10.8,134.0,3.4,7.9,24.0,7900.0,3.1,no,yes,no,good,no,no,ckd,yes,Stage 5,user44,user44@example.com,password123,+639859088762
44,54.0,80.0,1.01,3.0,0.0,abnormal,abnormal,notpresent,notpresent,207.0,77.0,6.3,134.0,4.8,9.7,28.0,8000.0,4.8,yes,yes,no,poor,yes,no,ckd,yes,Stage 5,user45,user45@example.com,password123,+639932058955
45,54.0,80.0,1.02,3.0,0.0,normal,abnormal,notpresent,notpresent,208.0,89.0,5.9,130.0,4.9,9.3,40.0,8000.0,4.8,yes,yes,no,poor,yes,no,ckd,no,Stage 5,user46,user46@example.com,password123,+639767738382
46,48.0,70.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,124.0,24.0,1.2,142.0,4.2,12.4,37.0,6400.0,4.7,no,yes,no,good,no,no,ckd,no,Stage 3,user47,user47@example.com,password123,+639297740563
47,11.0,80.0,1.01,3.0,0.0,normal,normal,notpresent,notpresent,121.0,17.0,0.8,138.0,4.4,15.0,45.0,8600.0,4.8,no,no,no,good,no,no,ckd,yes,Stage 1-2,user48,user48@example.com,password123,+639209634482
48,73.0,70.0,1.005,0.0,0.0,normal,normal,notpresent,notpresent,70.0,32.0,0.9,125.0,4.0,10.0,29.0,18900.0,3.5,yes,yes,no,good,yes,no,ckd,no,Stage 1-2,user49,user49@example.com,password123,+639556042970
49,60.0,70.0,1.01,2.0,0.0,normal,abnormal,present,notpresent,144.0,72.0,3.0,138.0,4.4,9.7,29.0,21600.0,3.5,yes,yes,no,poor,no,yes,ckd,no,Stage 4,user50,user50@example.com,password123,+639319856673
50,53.0,60.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,91.0,114.0,3.25,142.0,4.3,8.6,28.0,11000.0,3.8,yes,yes,no,poor,yes,yes,ckd,yes,Stage 4,user51,user51@example.com,password123,+639661350223
51,54.0,100.0,1.015,3.0,0.0,normal,normal,present,notpresent,162.0,66.0,1.6,136.0,4.4,10.3,33.0,8000.0,4.8,yes,yes,no,poor,yes,no,ckd,no,Stage 3,user52,user52@example.com,password123,+639186418701
52,53.0,90.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,121.0,38.0,2.2,138.0,4.4,10.9,34.0,4300.0,3.7,no,no,no,poor,no,yes,ckd,no,Stage 4,user53,user53@example.com,password123,+639837225736
53,62.0,80.0,1.015,0.0,5.0,normal,normal,notpresent,notpresent,246.0,24.0,1.0,138.0,4.4,13.6,40.0,8500.0,4.7,yes,yes,no,good,no,no,ckd,no,Stage 1-2,user54,user54@example.com,password123,+639479650546
54,63.0,80.0,1.01,2.0,2.0,normal,normal,notpresent,notpresent,121.0,42.0,3.4,136.0,4.2,13.0,40.0,9800.0,4.2,yes,no,yes,good,no,no,ckd,no,Stage 4,user55,user55@example.com,password123,+639243875424
55,35.0,80.0,1.005,3.0,0.0,abnormal,normal,notpresent,notpresent,121.0,42.0,1.3,138.0,4.4,9.5,28.0,8000.0,4.8,no,no,no,good,yes,no,ckd,no,Stage 3,user56,user56@example.com,password123,+639466319999
56,76.0,70.0,1.015,3.0,4.0,normal,abnormal,present,notpresent,121.0,164.0,9.7,131.0,4.4,10.2,30.0,11300.0,3.4,yes,yes,yes,poor,yes,no,ckd,yes,Stage 5,user57,user57@example.com,password123,+639637714016
57,76.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,93.0,155.0,7.3,132.0,4.9,12.65,40.0,8000.0,4.8,yes,yes,yes,poor,no,no,ckd,yes,Stage 5,user58,user58@example.com,password123,+639382239883
58,73.0,80.0,1.02,2.0,0.0,abnormal,abnormal,notpresent,notpresent,253.0,142.0,4.6,138.0,5.8,10.5,33.0,7200.0,4.3,yes,yes,yes,good,no,no,ckd,yes,Stage 4,user59,user59@example.com,password123,+639988864395
59,59.0,100.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,121.0,96.0,6.4,138.0,4.4,6.6,40.0,8000.0,4.8,yes,yes,no,good,no,yes,ckd,no,Stage 5,user60,user60@example.com,password123,+639343656738
60,67.0,90.0,1.02,1.0,0.0,normal,abnormal,present,notpresent,141.0,66.0,3.2,138.0,6.6,12.65,40.0,8000.0,4.8,yes,no,no,good,no,no,ckd,no,Stage 4,user61,user61@example.com,password123,+639922574038
61,67.0,80.0,1.01,1.0,3.0,normal,abnormal,notpresent,notpresent,182.0,391.0,32.0,163.0,39.0,12.65,40.0,8000.0,4.8,no,no,no,good,yes,no,ckd,yes,Stage 5,user62,user62@example.com,password123,+639973603659
62,15.0,60.0,1.02,3.0,0.0,normal,normal,notpresent,notpresent,86.0,15.0,0.6,138.0,4.0,11.0,33.0,7700.0,3.8,yes,yes,no,good,no,no,ckd,no,Stage 1-2,user63,user63@example.com,password123,+639415595317
63,46.0,70.0,1.015,1.0,0.0,abnormal,normal,notpresent,notpresent,150.0,111.0,6.1,131.0,3.7,7.5,27.0,8000.0,4.8,no,no,no,good,no,yes,ckd,no,Stage 5,user64,user64@example.com,password123,+639116534117
64,55.0,80.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,146.0,42.0,1.3,138.0,4.4,9.8,40.0,8000.0,4.8,no,no,	no,good,no,no,ckd,yes,Stage 3,user65,user65@example.com,password123,+639432882135
65,44.0,90.0,1.01,1.0,0.0,normal,normal,notpresent,notpresent,121.0,20.0,1.1,138.0,4.4,15.0,48.0,8000.0,4.8,no,	no,no,good,no,no,ckd,no,Stage 1-2,user66,user66@example.com,password123,+639500111816
66,67.0,70.0,1.02,2.0,0.0,abnormal,normal,notpresent,notpresent,150.0,55.0,1.6,131.0,4.8,12.65,40.0,8000.0,4.8,yes,yes,no,good,yes,no,ckd,yes,Stage 3,user67,user67@example.com,password123,+639998511815
67,45.0,80.0,1.02,3.0,0.0,normal,abnormal,notpresent,notpresent,425.0,42.0,1.3,138.0,4.4,12.65,40.0,8000.0,4.8,no,no,no,poor,no,no,ckd,no,Stage 3,user68,user68@example.com,password123,+639845611031
68,65.0,70.0,1.01,2.0,0.0,normal,normal,present,notpresent,112.0,73.0,3.3,138.0,4.4,10.9,37.0,8000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 4,user69,user69@example.com,password123,+639776497054
69,26.0,70.0,1.015,0.0,4.0,normal,normal,notpresent,notpresent,250.0,20.0,1.1,138.0,4.4,15.6,52.0,6900.0,6.0,no,yes,no,good,no,no,ckd,no,Stage 1-2,user70,user70@example.com,password123,+639972740471
70,61.0,80.0,1.015,0.0,4.0,normal,normal,notpresent,notpresent,360.0,19.0,0.7,137.0,4.4,15.2,44.0,8300.0,5.2,yes,yes,no,good,no,no,ckd,no,Stage 1-2,user71,user71@example.com,password123,+639986937395
71,46.0,60.0,1.01,1.0,0.0,normal,normal,notpresent,notpresent,163.0,92.0,3.3,141.0,4.0,9.8,28.0,14600.0,3.2,yes,yes,no,good,no,no,ckd,yes,Stage 4,user72,user72@example.com,password123,+639528801120
72,64.0,90.0,1.01,3.0,3.0,normal,abnormal,present,notpresent,121.0,35.0,1.3,138.0,4.4,10.3,40.0,8000.0,4.8,yes,yes,no,good,yes,no,ckd,yes,Stage 3,user73,user73@example.com,password123,+639532319938
73,55.0,100.0,1.015,2.0,0.0,abnormal,abnormal,notpresent,notpresent,129.0,107.0,6.7,132.0,4.4,4.8,14.0,6300.0,4.8,yes,no,no,good,yes,yes,ckd,no,Stage 5,user74,user74@example.com,password123,+639380893913
74,56.0,90.0,1.015,2.0,0.0,abnormal,abnormal,notpresent,notpresent,129.0,107.0,6.7,131.0,4.8,9.1,29.0,6400.0,3.4,yes,no,no,good,no,no,ckd,no,Stage 5,user75,user75@example.com,password123,+639354147913
75,5.0,80.0,1.015,1.0,0.0,normal,normal,notpresent,notpresent,121.0,16.0,0.7,138.0,3.2,8.1,40.0,8000.0,4.8,no,no,no,good,no,yes,ckd,no,Stage 1-2,user76,user76@example.com,password123,+639542715746
76,48.0,80.0,1.005,4.0,0.0,abnormal,abnormal,notpresent,present,133.0,139.0,8.5,132.0,5.5,10.3,36.0,6200.0,4.0,no,yes,no,good,yes,no,ckd,no,Stage 5,user77,user77@example.com,password123,+639112250817
77,67.0,70.0,1.01,1.0,0.0,normal,normal,notpresent,notpresent,102.0,48.0,3.2,137.0,5.0,11.9,34.0,7100.0,3.7,yes,yes,no,good,yes,no,ckd,no,Stage 4,user78,user78@example.com,password123,+639373424012
78,70.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,158.0,85.0,3.2,141.0,3.5,10.1,30.0,8000.0,4.8,yes,no,no,good,yes,no,ckd,no,Stage 4,user79,user79@example.com,password123,+639884408102
79,56.0,80.0,1.01,1.0,0.0,normal,normal,notpresent,notpresent,165.0,55.0,1.8,138.0,4.4,13.5,40.0,11800.0,5.0,yes,yes,no,poor,yes,no,ckd,yes,Stage 3,user80,user80@example.com,password123,+639453637701
80,74.0,80.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,132.0,98.0,2.8,133.0,5.0,10.8,31.0,9400.0,3.8,yes,yes,no,good,no,no,ckd,no,Stage 4,user81,user81@example.com,password123,+639666661346
81,45.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,360.0,45.0,2.4,128.0,4.4,8.3,29.0,5500.0,3.7,yes,yes,no,good,no,no,ckd,yes,Stage 4,user82,user82@example.com,password123,+639422988678
82,38.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,104.0,77.0,1.9,140.0,3.9,12.65,40.0,8000.0,4.8,yes,no,no,poor,yes,no,ckd,no,Stage 3,user83,user83@example.com,password123,+639834217906
83,48.0,70.0,1.015,1.0,0.0,normal,normal,notpresent,notpresent,127.0,19.0,1.0,134.0,3.6,12.65,40.0,8000.0,4.8,yes,yes,no,good,no,no,ckd,yes,Stage 1-2,user84,user84@example.com,password123,+639616419959
84,59.0,70.0,1.01,3.0,0.0,normal,abnormal,notpresent,notpresent,76.0,186.0,15.0,135.0,7.6,7.1,22.0,3800.0,2.1,yes,no,no,poor,yes,yes,ckd,no,Stage 5,user85,user85@example.com,password123,+639180073273
85,70.0,70.0,1.015,2.0,0.0,normal,normal,notpresent,notpresent,121.0,46.0,1.5,138.0,4.4,9.9,40.0,8000.0,4.8,no,yes,no,poor,yes,no,ckd,no,Stage 3,user86,user86@example.com,password123,+639884238214
86,56.0,80.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,415.0,37.0,1.9,138.0,4.4,12.65,40.0,8000.0,4.8,no,yes,no,good,no,no,ckd,no,Stage 3,user87,user87@example.com,password123,+639771657250
87,70.0,100.0,1.005,1.0,0.0,normal,abnormal,present,notpresent,169.0,47.0,2.9,138.0,4.4,11.1,32.0,5800.0,5.0,yes,yes,no,poor,no,no,ckd,no,Stage 4,user88,user88@example.com,password123,+639642703624
88,58.0,110.0,1.01,4.0,0.0,normal,normal,notpresent,notpresent,251.0,52.0,2.2,138.0,4.4,12.65,40.0,13200.0,4.7,yes,	yes,no,good,no,no,ckd,yes,Stage 4,user89,user89@example.com,password123,+639697884789
89,50.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,109.0,32.0,1.4,139.0,4.7,12.65,40.0,8000.0,4.8,no,no,no,poor,no,no,ckd,yes,Stage 3,user90,user90@example.com,password123,+639915610832
90,63.0,100.0,1.01,2.0,2.0,normal,normal,notpresent,present,280.0,35.0,3.2,143.0,3.5,13.0,40.0,9800.0,4.2,yes,no,yes,good,no,no,ckd,no,Stage 4,user91,user91@example.com,password123,+639478481135
91,56.0,70.0,1.015,4.0,1.0,abnormal,normal,notpresent,notpresent,210.0,26.0,1.7,136.0,3.8,16.1,52.0,12500.0,5.6,no,no,no,good,no,no,ckd,no,Stage 3,user92,user92@example.com,password123,+639850330955
92,71.0,70.0,1.01,3.0,0.0,normal,abnormal,present,present,219.0,82.0,3.6,133.0,4.4,10.4,33.0,5600.0,3.6,yes,yes,yes,good,no,no,ckd,no,Stage 4,user93,user93@example.com,password123,+639933956195
93,73.0,100.0,1.01,3.0,2.0,abnormal,abnormal,present,notpresent,295.0,90.0,5.6,140.0,2.9,9.2,30.0,7000.0,3.2,yes,yes,yes,poor,no,no,ckd,yes,Stage 5,user94,user94@example.com,password123,+639388447046
94,65.0,70.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,93.0,66.0,1.6,137.0,4.5,11.6,36.0,11900.0,3.9,no,yes,no,good,no,no,ckd,no,Stage 3,user95,user95@example.com,password123,+639628335688
95,62.0,90.0,1.015,1.0,0.0,normal,normal,notpresent,notpresent,94.0,25.0,1.1,131.0,3.7,12.65,40.0,8000.0,4.8,yes,no,no,good,yes,yes,ckd,no,Stage 1-2,user96,user96@example.com,password123,+639639791722
96,60.0,80.0,1.01,1.0,1.0,normal,normal,notpresent,notpresent,172.0,32.0,2.7,138.0,4.4,11.2,36.0,8000.0,4.8,no,yes,yes,poor,no,no,ckd,no,Stage 4,user97,user97@example.com,password123,+639932570465
97,65.0,60.0,1.015,1.0,0.0,normal,normal,notpresent,notpresent,91.0,51.0,2.2,132.0,3.8,10.0,32.0,9100.0,4.0,yes,yes,no,poor,yes,no,ckd,no,Stage 4,user98,user98@example.com,password123,+639184889060
98,50.0,140.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,101.0,106.0,6.5,135.0,4.3,6.2,18.0,5800.0,2.3,yes,yes,no,poor,no,yes,ckd,yes,Stage 5,user99,user99@example.com,password123,+639381961498
99,56.0,180.0,1.02,0.0,4.0,normal,abnormal,notpresent,notpresent,298.0,24.0,1.2,139.0,3.9,11.2,32.0,10400.0,4.2,yes,yes,no,poor,yes,no,ckd,yes,Stage 3,user100,user100@example.com,password123,+639981667497
100,34.0,70.0,1.015,4.0,0.0,abnormal,abnormal,notpresent,notpresent,153.0,22.0,0.9,133.0,3.8,12.65,40.0,8000.0,4.8,no,no,no,good,yes,no,ckd,no,Stage 1-2,user101,user101@example.com,password123,+639542279301
101,71.0,90.0,1.015,2.0,0.0,normal,abnormal,present,present,88.0,80.0,4.4,139.0,5.7,11.3,33.0,10700.0,3.9,no,no,no,good,no,no,ckd,no,Stage 4,user102,user102@example.com,password123,+639686034626
102,17.0,60.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,92.0,32.0,2.1,141.0,4.2,13.9,52.0,7000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 4,user103,user103@example.com,password123,+639827025643
103,76.0,70.0,1.015,2.0,0.0,normal,abnormal,present,notpresent,226.0,217.0,10.2,138.0,4.4,10.2,36.0,12700.0,4.2,yes,no,no,poor,yes,yes,ckd,no,Stage 5,user104,user104@example.com,password123,+639150966622
104,55.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,143.0,88.0,2.0,138.0,4.4,12.65,40.0,8000.0,4.8,yes,yes,no,poor,yes,no,ckd,yes,Stage 4,user105,user105@example.com,password123,+639415648265
105,65.0,80.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,115.0,32.0,11.5,139.0,4.0,14.1,42.0,6800.0,5.2,no,no,no,good,no,no,ckd,yes,Stage 5,user106,user106@example.com,password123,+639880995945
106,50.0,90.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,89.0,118.0,6.1,127.0,4.4,6.0,17.0,6500.0,4.8,yes,yes,no,good,yes,yes,ckd,yes,Stage 5,user107,user107@example.com,password123,+639527930747
107,55.0,100.0,1.015,1.0,4.0,normal,normal,notpresent,notpresent,297.0,53.0,2.8,139.0,4.5,11.2,34.0,13600.0,4.4,yes,yes,no,good,no,no,ckd,no,Stage 4,user108,user108@example.com,password123,+639792918985
108,45.0,80.0,1.015,0.0,0.0,normal,abnormal,notpresent,notpresent,107.0,15.0,1.0,141.0,4.2,11.8,37.0,10200.0,4.2,no,no,no,good,no,no,ckd,no,Stage 1-2,user109,user109@example.com,password123,+639847921669
109,54.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,233.0,50.1,1.9,138.0,4.4,11.7,40.0,8000.0,4.8,no,yes,no,good,no,no,ckd,yes,Stage 3,user110,user110@example.com,password123,+639503910529
110,63.0,90.0,1.015,0.0,0.0,normal,normal,notpresent,notpresent,123.0,19.0,2.0,142.0,3.8,11.7,34.0,11400.0,4.7,no,no,no,good,no,no,ckd,no,Stage 4,user111,user111@example.com,password123,+639233876877
111,65.0,80.0,1.01,3.0,3.0,normal,normal,notpresent,notpresent,294.0,71.0,4.4,128.0,5.4,10.0,32.0,9000.0,3.9,yes,yes,yes,good,no,no,ckd,no,Stage 4,user112,user112@example.com,password123,+639947161458
112,55.0,60.0,1.015,3.0,0.0,abnormal,abnormal,notpresent,notpresent,121.0,34.0,1.2,138.0,4.4,10.8,33.0,8000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 3,user113,user113@example.com,password123,+639823800885
